Source ID,Item #,Initiative,Discipline,Category,Deliverable,Action,Assigned To,Reviewer,Status,Notes,Priority,Due Date,Source Due,Priority Weight,Progress %,Status Bucket,Last Updated,Week Ending,Due Quarter,Budget Hours,WBS,IO,Work Group,Planned Week
ei-initiative-014,14,White Paper Reports,E&I Department,Estimating,Lessons Learned / White Paper,RGLNG White Paper(s) TBD,Construction,,HOLD,Allen has emails from Engineering and needs Carlos Serrano at site to give construction lessons learned. Not a push until GTPP Item 11 is complete,Critical,,,4,0,Blocked,,,No Date,,110803,1511,Electrical,
ei-initiative-015,15,Consistency Workshop,E&I Department,Wire and Cable,Cable List,Update / check termination count for all cables - 1.0 version 3 cable list has issues in termination formulas that have to be fixed,Tyler Reck,Andy Baruth,Approved,"06/15/2026 -
1.) Used ""000000-EL-SPC-0005_Wire and Cable Specification"" to add all cables to list.
2.) Wrote formula to quantify terminations and grounding.
3.) Need to write formula on main cable schedule sheet to add Armor and Shield terms.

06/16/2026 - 
1.) Rewrote layouts for each page, to work with new formulas.

06/17/2026 - 
1.) Finished writing new formula for displaying Wire and Cables, Termination, and Gland Pages

06/18/2026 - 
1.) Had meeting with Andy and Raul, tested sheet and got sign off.",High,2026-06-17,,3,100,Closed,,,Q2,,110803,1511,Electrical,
ei-initiative-016,16,Consistency Workshop,Electrical,Grounding,ADAPT - Assemblies / KIDs,Report back to department what grounding in ADAPT looks like,Ali Malik,Allen Douglas,50% Complete,Moves from Oscar to Ali due to Nuclear assigment,High,,Q3,3,50,Open,,,Q3,,110803,1511,Electrical,
ei-initiative-017,17,Initiatives Folder,E&I Department,Department,Standard Template,Create Action Item List for E&I Department Initiative Tracking,Allen Douglas,,Closed Out,Email sent to department to review and provide feedback,High,2026-04-29,,3,100,Closed,,,Q2,,110803,1511,Electrical,
ei-initiative-018,18,Energy Standardization,Energy,Estimating,Excel Spreadsheet,Add KPE documents to Energy Tracker,Ali Malik,Allen Douglas,Closed Out,"Allen needs help with this task. Easy copy and paste
04/30/2026 - Turned back over to Allen to review",Critical,2026-04-30,,4,100,Closed,,,Q2,,110803,1511,Electrical,
ei-initiative-019,19,Vendor Presentations,E&I Department,Estimating,Presentation,Vendor Visit Presenation - Emerson Ovation DCS,Ahmed Sherif,,Closed Out,Presented on 06/22,Low,2026-05-08,,1,100,Closed,,,Q2,,110803,1511,Electrical,
ei-initiative-020,20,Energy Standardization,Electrical,Grounding,Procedure (Energy),Identify where KPE and OGC are different in procedures,Oscar Handal,Allen Douglas,Closed Out,"Started 4/22 per Workshop Findings
06/23/2026 - Procedure template complete",Critical,2026-05-08,,4,100,Closed,,,Q2,,110803,1511,Electrical,
ei-initiative-021,21,Energy Standardization,Electrical,Cable - General,Procedure (Energy),Identify where KPE and OGC are different in procedures,Tyler Reck,Allen Douglas,Not Started,,Critical,2026-06-26,,4,0,Open,,,Q2,,110803,1511,Electrical,
ei-initiative-022,22,Energy Standardization,Electrical,Raceway,Procedure (Energy),Identify where KPE and OGC are different in procedures,Oscar Handal,Allen Douglas,Closed Out,06/23/2026 - Procedure template complete,Critical,2026-06-26,,4,100,Closed,,,Q2,,110803,1511,Electrical,
ei-initiative-023,23,Energy Standardization,Electrical,Lighting,Procedure (Energy),Identify where KPE and OGC are different in procedures,Rojna Ghamsari,Allen Douglas,Closed Out,,Critical,2026-06-26,,4,100,Closed,,,Q2,,110803,1511,Electrical,
ei-initiative-024,21,Energy Standardization,Electrical,Heat Trace,Procedure (Energy),Identify where KPE and OGC are different in procedures,Syed Ali,Allen Douglas,Closed Out,06/24/2026 - Procedure template complete,Critical,2026-06-26,,4,100,Closed,,,Q2,,110803,1511,Electrical,
ei-initiative-025,22,Energy Standardization,Electrical,Lightning Protection,Procedure (Energy),Identify where KPE and OGC are different in procedures,Ahmad Yakuba,Allen Douglas,Not Started,,Critical,2026-06-26,,4,0,Open,,,Q2,,110803,1511,Electrical,
ei-initiative-026,23,Energy Standardization,Electrical,Cathodic Protection,Procedure (Energy),Identify where KPE and OGC are different in procedures,Ahmad Yakuba,Allen Douglas,Not Started,,Critical,2026-06-26,,4,0,Open,,,Q2,,110803,1511,Electrical,
ei-initiative-027,24,Energy Standardization,Electrical,Temporary Power,Procedure (Energy),Identify where KPE and OGC are different in procedures,Syed Ali,Allen Douglas,Closed Out,06/24/2026 - Procedure template complete,Critical,2026-06-26,,4,100,Closed,,,Q2,,110803,1511,Electrical,
ei-initiative-028,25,Energy Standardization,Electrical,Fire Safety System,Procedure (Energy),Identify where KPE and OGC are different in procedures,Keshika Nath Varma,Allen Douglas,Closed Out,,Critical,2026-06-26,,4,100,Closed,,,Q2,,110803,1511,Electrical,
ei-initiative-029,21,Energy Standardization,Electrical,Instrumentation,Procedure (Energy),Identify where KPE and OGC are different in procedures,Keshika Nath Varma,Allen Douglas,Closed Out,,Critical,2026-06-26,,4,100,Closed,,,Q2,,110803,1511,Electrical,
ei-initiative-030,22,Energy Standardization,Electrical,Control Systems,Procedure (Energy),Identify where KPE and OGC are different in procedures,Ahmed Sherif,Allen Douglas,Closed Out,,Critical,2026-06-26,,4,100,Closed,,,Q2,,110803,1511,Electrical,
ei-initiative-031,23,Energy Standardization,Electrical,Telecoms,Procedure (Energy),Identify where KPE and OGC are different in procedures,Rasheed Oduro,Allen Douglas,Closed Out,06/22/2026 - Procedure template complete,Critical,2026-05-08,,4,100,Closed,,,Q2,,110803,1511,Electrical,
ei-initiative-032,24,Energy Standardization,Electrical,Security,Procedure (Energy),Identify where KPE and OGC are different in procedures,Rasheed Oduro,Allen Douglas,Closed Out,06/22/2026 - Procedure template complete,Critical,2026-05-08,,4,100,Closed,,,Q2,,110803,1511,Electrical,
ei-initiative-033,25,Energy Standardization,Electrical,Facility Equipment,Procedure (Energy),Created template procedure for equipment & devices takeoff,Dilan Centeno,Ali Malik,Not Started,,Critical,,Q2,4,0,Open,,,Q2,,110803,1511,Electrical,
ei-initiative-034,21,Energy Standardization,Electrical,Equipment and Devices,Procedure (Energy),Created template procedure for equipment & devices takeoff,Dilan Centeno,Ali Malik,Closed Out,Procedure template reviewed and completed (6/26),Critical,,Q2,4,100,Closed,,,Q2,,110803,1511,Electrical,
ei-initiative-035,21,Consistency Workshop,Electrical,Lighting,ADAPT - Assemblies / KIDs,Align ADAPT with KOE Installation Details (follow Grounding method),Oscar Handal,Allen Douglas,25% Complete,"Requires the completion of Grounding as a go-by
06/25/2026 - Started Task parallel to grounding",High,,Q3,3,30,Open,,,Q3,,110803,1511,Electrical,
ei-initiative-036,22,Consistency Workshop,Electrical,Cable Tray,ADAPT - Assemblies / KIDs,Align ADAPT with KOE Installation Details (follow Grounding method),Available,,HOLD,Requires the completion of Grounding as a go-by,High,,,3,0,Blocked,,,No Date,,110803,1511,Electrical,
ei-initiative-037,23,Consistency Workshop,Electrical,Conduit,ADAPT - Assemblies / KIDs,Align ADAPT with KOE Installation Details (follow Grounding method),Available,,HOLD,Requires the completion of Grounding as a go-by,High,,,3,0,Blocked,,,No Date,,110803,1511,Electrical,
ei-initiative-038,24,Consistency Workshop,Electrical,Channel Tray,ADAPT - Assemblies / KIDs,Align ADAPT with KOE Installation Details (follow Grounding method),Available,,HOLD,Requires the completion of Grounding as a go-by,High,,,3,0,Blocked,,,No Date,,110803,1511,Electrical,
ei-initiative-039,25,Consistency Workshop,Electrical,DuctBank,ADAPT - Assemblies / KIDs,Align ADAPT with KOE Installation Details (follow Grounding method),Available,,HOLD,Requires the completion of Grounding as a go-by,High,,,3,0,Blocked,,,No Date,,110803,1511,Electrical,
ei-initiative-040,26,Consistency Workshop,Electrical,Heat Trace,ADAPT - Assemblies / KIDs,Align ADAPT with KOE Installation Details (follow Grounding method),Available,,HOLD,Requires the completion of Grounding as a go-by,High,,,3,0,Blocked,,,No Date,,110803,1511,Electrical,
ei-initiative-041,27,Consistency Workshop,Electrical,Lightning Protection,ADAPT - Assemblies / KIDs,Align ADAPT with KOE Installation Details (follow Grounding method),Rasheed Oduro,,HOLD,"Requires the completion of Grounding as a go-by

6/19 - Located Masts and Catenary Masts drawing details for assemblies
6/22 - Acquired data from KNS parts list drawing E11065-­F-­5101
6/23 - Pause due to contingencies on grounding",High,,,3,20,Blocked,,,No Date,,110803,1511,Electrical,
ei-initiative-042,28,Consistency Workshop,Electrical,Receptacle-120V,ADAPT - Assemblies / KIDs,Align ADAPT with KOE Installation Details (follow Grounding method),Available,,HOLD,Requires the completion of Grounding as a go-by,High,,,3,0,Blocked,,,No Date,,110803,1511,Electrical,
ei-initiative-043,29,Consistency Workshop,Electrical,Receptacle-480V,ADAPT - Assemblies / KIDs,Align ADAPT with KOE Installation Details (follow Grounding method),Available,,HOLD,Requires the completion of Grounding as a go-by,High,,,3,0,Blocked,,,No Date,,110803,1511,Electrical,
ei-initiative-044,30,Consistency Workshop,Electrical,Temporary Power,ADAPT - Assemblies / KIDs,Align ADAPT with KOE Installation Details (follow Grounding method),Available,,HOLD,Requires the completion of Grounding as a go-by,High,,,3,0,Blocked,,,No Date,,110803,1511,Electrical,
ei-initiative-045,31,Consistency Workshop,Electrical,Wire and Cable,ADAPT - Assemblies / KIDs,Align ADAPT with KOE Installation Details (follow Grounding method),Available,,HOLD,Requires the completion of Grounding as a go-by,High,,,3,0,Blocked,,,No Date,,110803,1511,Electrical,
ei-initiative-046,32,Energy Standardization,E&I Department,Department,Procedure (Energy),Review and pick up comments on Playbook,Allen Douglas,,Closed Out,Confirm in Wednesday meeting what is next step (if any),Critical,2026-05-08,,4,100,Closed,,,Q2,,110803,1511,Electrical,
ei-initiative-047,33,Consistency Workshop,Electrical,Lighting,"Training Improvement
IO 101023951","Align on ""cradle to grave"" of this Catgory  and identify Action Items",Available,,HOLD,Requires the completion of Grounding as a go-by,High,,,3,0,Blocked,,,No Date,,110803,101023951,Electrical,
ei-initiative-048,34,Consistency Workshop,Electrical,Cable Tray,"Training Improvement
IO 101023951","Align on ""cradle to grave"" of this Catgory  and identify Action Items",Rasheed Oduro,,HOLD,"Requires the completion of Grounding as a go-by

6/22 - Getting head start while Grounding is still in process.",High,,,3,10,Blocked,,,No Date,,110803,101023951,Electrical,
ei-initiative-049,35,Consistency Workshop,Electrical,Conduit,"Training Improvement
IO 101023951","Align on ""cradle to grave"" of this Catgory  and identify Action Items",Available,,HOLD,Requires the completion of Grounding as a go-by,High,,,3,0,Blocked,,,No Date,,110803,101023951,Electrical,
ei-initiative-050,36,Consistency Workshop,Electrical,Channel Tray,"Training Improvement
IO 101023951","Align on ""cradle to grave"" of this Catgory  and identify Action Items",Available,,HOLD,Requires the completion of Grounding as a go-by,High,,,3,0,Blocked,,,No Date,,110803,101023951,Electrical,
ei-initiative-051,37,Consistency Workshop,Electrical,DuctBank,"Training Improvement
IO 101023951","Align on ""cradle to grave"" of this Catgory  and identify Action Items",Available,,HOLD,Requires the completion of Grounding as a go-by,High,,,3,0,Blocked,,,No Date,,110803,101023951,Electrical,
ei-initiative-052,38,Consistency Workshop,Electrical,Heat Trace,"Training Improvement
IO 101023951","Align on ""cradle to grave"" of this Catgory  and identify Action Items",Available,,HOLD,Requires the completion of Grounding as a go-by,High,,,3,0,Blocked,,,No Date,,110803,101023951,Electrical,
ei-initiative-053,39,Consistency Workshop,Electrical,Lightning Protection,"Training Improvement
IO 101023951","Align on ""cradle to grave"" of this Catgory  and identify Action Items",Rasheed Oduro,,HOLD,"Requires the completion of Grounding as a go-by

6/23 - Placed",High,,,3,20,Blocked,,,No Date,,110803,101023951,Electrical,
ei-initiative-054,40,Consistency Workshop,Electrical,Receptacle-120V,"Training Improvement
IO 101023951","Align on ""cradle to grave"" of this Catgory  and identify Action Items",Available,,HOLD,Requires the completion of Grounding as a go-by,High,,,3,0,Blocked,,,No Date,,110803,101023951,Electrical,
ei-initiative-055,41,Consistency Workshop,Electrical,Receptacle-480V,"Training Improvement
IO 101023951","Align on ""cradle to grave"" of this Catgory  and identify Action Items",Available,,HOLD,Requires the completion of Grounding as a go-by,High,,,3,0,Blocked,,,No Date,,110803,101023951,Electrical,
ei-initiative-056,42,Consistency Workshop,Electrical,Temporary Power,"Training Improvement
IO 101023951","Align on ""cradle to grave"" of this Catgory  and identify Action Items",Available,,HOLD,Requires the completion of Grounding as a go-by,High,,,3,0,Blocked,,,No Date,,110803,101023951,Electrical,
ei-initiative-057,43,Consistency Workshop,Electrical,Wire and Cable,"Training Improvement
IO 101023951","Align on ""cradle to grave"" of this Catgory  and identify Action Items",Available,,HOLD,Requires the completion of Grounding as a go-by,High,,,3,0,Blocked,,,No Date,,110803,101023951,Electrical,
ei-initiative-058,44,Temporary Power,Electrical,Temporary Power,Procedure (OGC),Generate Temporary Power Templates,Jacob Farsalas,,Closed Out,Pull most recent project worksheets into folder and turn into maste templates for future use - to Syed,Critical,2026-05-08,,4,100,Closed,,,Q2,,110803,1511,Electrical,
ei-initiative-059,45,Consistency Workshop,E&I Department,Cable - General,"Training Improvement
IO 101023951","Align on ""cradle to grave"" of this Catgory  and identify Action Items",Available,,HOLD,Requires the completion of Grounding as a go-by,High,,,3,0,Blocked,,,No Date,,110803,101023951,Electrical,
ei-initiative-060,46,Consistency Workshop,Electrical,Procurement,Procurement - RFQ,Standardize RFQ from Procurement Template to ADAPT Automation,Rasheed Oduro,,Not Started,Need other Iniatiatives completed before this can start,Medium,,,2,0,Open,,,No Date,,110803,1511,Electrical,
ei-initiative-061,47,Initiatives - Future,E&I Department,Department,KOE Installation Detail,"Produce a document that gives acceptable ""or Equal"" part numbers",Available,,Not Started,TBD on who will own this list after completed - Impact to GTPP White Paper,Medium,,,2,0,Open,,,No Date,,110803,1511,Electrical,
ei-initiative-062,48,Energy Standardization,E&I Department,Conduit,Procurement - QCS,"Standardize 4.30.400 Conduit QCS to align with OGC standards, ADAPT material master, field needs - All possible materials required for installation and supplies. Goal is to use this and not clone from each project QCS",Dilan Centeno,,Not Started,Added 6/8,Low,,Q3,1,0,Open,,,Q3,,110803,1511,Electrical,
ei-initiative-063,49,Energy Standardization,Electrical,Lighting,Procurement - QCS,"Standardize 4.30.440 Lighting Bulks QCS to align with OGC standards, ADAPT material master, field needs - All possible materials required for installation and supplies. Goal is to use this and not clone from each project QCS",Dilan Centeno,,Not Started,Added 6/8,Low,,Q3,1,0,Open,,,Q3,,110803,1511,Electrical,
ei-initiative-064,50,Energy Standardization,Electrical,Equipment and Devices,Procurement - QCS,"Standardize 4.30.450 Equipment and Devices QCS to align with OGC standards, ADAPT material master, field needs - All possible materials required for installation and supplies. Goal is to use this and not clone from each project QCS",Available,,Not Started,,Low,,Q3,1,0,Open,,,Q3,,110803,1511,Electrical,
ei-initiative-065,51,I&C Adapt Logic,Instrumentation and Controls,Estimating,ADAPT - Report,"Report templates prepared and sent for implementation. 
Adapt Team to complete programing to generate reports.",ADAPT,Rene Contreras,HOLD,Adapt Team confirmed Reports will be implemented in 2.0. (timeline: end of year),Low,,,1,0,Blocked,,,No Date,,110803,1511,Instrumentation,
ei-initiative-066,52,Energy Standardization,Electrical,Terminations,Procurement - QCS,"Standardize 4.30.410 Terminations to align with OGC standards, ADAPT material master, field needs - All possible materials required for installation and supplies. Goal is to use this and not clone from each project QCS",Available,,25% Complete,QCS crreated and updated to ADAPT but need to link to materials and peer review and send to Procurement Team - Mohan Started,Low,,Q3,1,25,Open,,,Q3,,110803,1511,Electrical,
ei-initiative-067,53,Energy Standardization,Electrical,Wire and Cable,Procurement - QCS,"Standardize 4.30.505  Temp Power Wire & Cable QCS to align with OGC standards, ADAPT material master, field needs - All possible materials required for installation and supplies. Goal is to use this and not clone from each project QCS",Available,,Not Started,,Low,,Q3,1,0,Open,,,Q3,,110803,1511,Electrical,
ei-initiative-068,54,Energy Standardization,Electrical,Heat Trace,Procurement - QCS,"Standardize 4.30.430 Heat Trace QCS to align with OGC standards, ADAPT material master, field needs - All possible materials required for installation and supplies. Goal is to use this and not clone from each project QCS",Keshika Nath Varma,,Not Started,,Low,,Q3,1,0,Open,,,Q3,,110803,1511,Electrical,
ei-initiative-069,55,Energy Standardization,Electrical,Grounding,Procurement - QCS,"Standardize 4.30.410 Grounding QCS to align with OGC standards, ADAPT material master, field needs - All possible materials required for installation and supplies. Goal is to use this and not clone from each project QCS",Available,,Not Started,,Low,,Q3,1,0,Open,,,Q3,,110803,1511,Electrical,
ei-initiative-070,56,Energy Standardization,Electrical,Bulk Materials,Procurement - QCS,"Standardize 4.30.400 Electrical Bulks - Temp Power QCS to align with OGC standards, ADAPT material master, field needs - All possible materials required for installation and supplies. Goal is to use this and not clone from each project QCS",Available,,Not Started,,Low,,Q3,1,0,Open,,,Q3,,110803,1511,Electrical,
ei-initiative-071,57,Energy Standardization,Electrical,Equipment and Devices,Procurement - QCS,"Standardize 4.30.450 Electrical Gear (Temp Power) QCS to align with OGC standards, ADAPT material master, field needs - All possible materials required for installation and supplies. Goal is to use this and not clone from each project QCS",Available,,Not Started,,Low,,Q3,1,0,Open,,,Q3,,110803,1511,Electrical,
ei-initiative-072,58,Indicative Tool,Instrumentation and Controls,Estimating,Indicative Tool,Importing reference projects MEL's and Index into  indicative tool to generate quantities,Rene Contreras,,Closed Out,"Projects: VGCP, FPLNG, CLNG, Cronus, FLNG, TXLNG, Yara",High,2026-05-13,,3,100,Closed,,,Q2,,110803,1511,Instrumentation,
ei-initiative-073,59,TBD - Folder Not Created,Instrumentation and Controls,Procurement,Procurement - RFQ,"AES Solutions - KOE Expert Analysis Cots are a ""0"" cost on projects right now",Raul Ledezma,Allen Douglas,HOLD,"AE Solutions provides KOE with ""review and expert recommendations"" which is currently not quantified on estimates. research how to better add these costs through RFQ process",Low,,Q3,1,0,Blocked,,,Q3,,110803,1511,Instrumentation,
ei-initiative-074,60,Energy Standardization,Electrical,Wire and Cable,Procurement - QCS,"Standardize 4.30.500 Wire and Cable QCS to align with OGC standards, ADAPT material master, field needs - All possible materials required for installation and supplies. Goal is to use this and not clone from each project QCS",Available,,Not Started,,Low,,Q3,1,0,Open,,,Q3,,110803,1511,Electrical,
ei-initiative-075,61,Consistency Workshop,Electrical,Estimating,ADAPT - Assemblies / KIDs,Align ADAPT with KOE Installation Details (follow Grounding method),Available,,HOLD,Requires the completion of Grounding as a go-by,High,,Q3,3,0,Blocked,,,Q3,,110803,1511,Electrical,
ei-initiative-076,62,Consistency Workshop,Electrical,Cathodic Protection,"Training Improvement
IO 101023951","Align on ""cradle to grave"" of this Catgory  and identify Action Items",Available,,HOLD,Requires the completion of Grounding as a go-by,High,,Q3,3,0,Blocked,,,Q3,,110803,101023951,Electrical,
ei-initiative-077,63,Energy Standardization,E&I Department,Estimating,Estimate Basis,"Create standards - what is on/off modules - what to include, how to take it off, and how to report to Module Team",Available,,HOLD,Needs all estimating manuals completed first for takeoff before we can complete this item,High,,Q3,3,0,Blocked,,,Q3,,110803,1511,Electrical,
ei-initiative-078,64,Energy Standardization,Electrical,Terminations,Procurement - QCS,"Standardize 4.20.485 Hi-Pot Testing QCS to align with OGC standards, ADAPT material master, field needs - All possible materials required for installation and supplies. Goal is to use this and not clone from each project QCS",Keshika Nath Varma,,Not Started,,Low,,Q3,1,0,Open,,,Q3,,110803,1511,Electrical,
ei-initiative-079,65,Energy Standardization,Electrical,Sub - Supply & Installation,Procedure (OGC),Create standard and QCS on - Subcontractor install/supply electrical & instrumentation for all labor on all OGC work,Keshika Nath Varma,,Not Started,,Low,,Q3,1,0,Open,,,Q3,,110803,1511,Electrical,
ei-initiative-080,66,Energy Standardization,Electrical,Cable Tray,Procurement - QCS,"Standardize 4.30.560 Cable Tray QCS to align with OGC standards, ADAPT material master, field needs - All possible materials required for installation and supplies. Goal is to use this and not clone from each project QCS",Andy Baruth,,HOLD,QCS crreated and updated to ADAPT but need to link to materials and peer review and send to Procurement Team,Low,,Q3,1,0,Blocked,,,Q3,,110803,1511,Electrical,
ei-initiative-081,67,Energy Standardization,Electrical,Construction,Procedure (OGC),"Create a procedure standardizing construction power - all inclusive - We have KPE one that needs to be updated and modified. Also need to standardize switchgear type packaged equipment, and SOOW cord wiring for equipment in the field (end to end with slack)",Available,,Not Started,,Medium,,,2,0,Open,,,No Date,,110803,1511,Electrical,
ei-initiative-082,68,TBD - Folder Not Created,E&I Department,Engineering,Procedure (OGC),Turn A/R material into known quantities - Align with Engineering,Available,,Not Started,both S3D and ADAPT need real quantites and should match when takeoffs are performed. Updates will need to be required to all KEGI insatallation details.,Medium,,Q3,2,0,Open,,,Q3,,110803,1511,Electrical,
ei-initiative-083,69,TBD - Folder Not Created,E&I Department,Bulk Materials,Procedure (OGC),Consumables Procedures,Ahmed Sherif,,25% Complete,"understand and discuss how to best capture consumables such as lubricant for wire and cable pulling, terimation coatings, etc.",Medium,,Q3,2,25,Open,,,Q3,,110803,1511,Electrical,
ei-initiative-084,70,TBD - Folder Not Created,Electrical,Grounding,Procedure (OGC),Ratios for tieing ground connections,Available,,Not Started,currently everything is built on perfect installations. it is known that cable reels are limited and transitions of cable require additional material (4/0 to 4/0 compression connections). Discuss and plan how to implement a ratio or understand that it is acceptable as part of waste percentages. The answer needs to be part of procedure.,Medium,,Q3,2,0,Open,,,Q3,,110803,1511,Electrical,
ei-initiative-085,71,Indicative Tool,Electrical,Estimating,Indicative Tool,Electrical Indicative Tool,Dilan Centeno,Ali Malik,Closed Out,"05/06/2026, moved to the below link.  This still requires quarterly maintainance. https://portal.kiewit.com/:f:/r/sites/1EElectrical/Shared%20Documents/1E%20Electrical%20and%20Instrumentation%20-%20Department%20Homepage/02.%20Standards/05.%20Indicative%20Tools/01.%20Electrical?csf=1&web=1&e=5XuCO7",Critical,,,4,100,Closed,,,No Date,,110803,1511,Electrical,
ei-initiative-086,72,Indicative Tool,Electrical,Estimating,Indicative Tool,Electrical Indicative Tool Procedure,Dilan Centeno,Ali Malik,Not Started,Review KPE procedure during bluebeam session (upcoming),Low,,Q3,1,0,Open,,,Q3,,110803,1511,Electrical,
ei-initiative-087,73,White Paper Reports,E&I Department,Estimating,Lessons Learned / White Paper,Improve account code documentation notes from site visit,Allen Douglas,,In Review,"Due before next week Wholesale Electric meeting
Review Labor Rates findings and make suggested changes (separate white paper)",Critical,2026-05-15,,4,90,Open,,,Q2,,110803,1511,Electrical,
ei-initiative-088,74,Indicative Tool,Instrumentation and Controls,Estimating,Indicative Tool,Generation of Instruments and MEL quantities Tables from Reference projects.,Rene Contreras,,Closed Out,"Projects: VGCP, FPLNG, CLNG, Cronus, FLNG, TXLNG, Yara
Only Amonia type of plant is left to be included in the procedure. Expected to be added by May 1st.",High,2026-05-15,,3,100,Closed,,,Q2,,110803,1511,Instrumentation,
ei-initiative-089,75,Cable Automation,Electrical,Wire and Cable,Cable List,Power Cable Basis (By Equipment),Mohan Murugesan,,Closed Out,"Sets standard power cables to be used for estimating per Estimate Basis
New Action to Tyler",Low,,,1,100,Closed,,,No Date,,110803,1511,Electrical,
ei-initiative-090,76,Cable Automation,Electrical,Wire and Cable,Cable List,Automated Cable List,Mohan Murugesan,,Closed Out,"Automates the cables required by equpment using the ""Power Cable Basis (By Equipment)"" spreadsheet
New Action to Tyler",Low,,,1,100,Closed,,,No Date,,110803,1511,Electrical,
ei-initiative-091,77,Vendor Presentations,E&I Department,Estimating,Presentation,Vendor Visit Presenation - Fill Out Who,Rasheed Oduro,,75% Complete,"Full time KNS support, set to begin oo after supoort has ended

6/19 - Needs review with Raul",Low,,,1,75,Open,,,No Date,,110803,1511,Electrical,
